date,cost,mult,pnl
2026-01-22,150,0.0,-150
2026-01-23,76,0.0,-76
2026-01-23,107,0.0,-107
2026-01-23,153,0.0,-153
2026-01-23,119,0.0,-119
2026-01-23,129,0.0,-129
2026-01-23,102,0.0,-102
2026-01-23,113,0.0,-113
2026-01-23,121,0.0,-121
2026-01-23,103,3.1,215
2026-01-23,137,0.0,-137
2026-01-23,97,0.0,-97
2026-01-23,178,0.0,-178
2026-01-23,166,0.0,-166
2026-01-25,54,0.0,-54
2026-01-25,8,0.0,-8
2026-01-25,7,0.0,-7
2026-01-25,20,0.0,-20
2026-01-26,70,0.0,-70
2026-01-26,185,0.0,-185
2026-01-26,144,0.0,-144
2026-01-26,170,0.0,-170
2026-01-26,97,0.0,-97
2026-01-26,112,0.0,-112
2026-01-26,130,0.0,-130
2026-01-26,159,0.0,-159
2026-01-26,93,1.6,54
2026-01-26,163,0.0,-163
2026-01-26,102,0.0,-102
2026-01-26,153,0.0,-153
2026-01-26,142,0.0,-142
2026-01-27,91,0.0,-91
2026-01-27,126,0.0,-126
2026-01-27,119,0.0,-119
2026-01-27,101,0.0,-101
2026-01-27,114,0.0,-114
2026-01-27,105,0.0,-105
2026-01-27,123,0.0,-123
2026-01-27,144,0.0,-144
2026-01-27,101,2.1,110
2026-01-27,138,0.0,-138
2026-01-27,86,0.0,-86
2026-01-27,163,0.0,-163
2026-01-27,135,0.0,-135
2026-01-28,75,0.0,-75
2026-01-28,120,0.0,-120
2026-01-28,128,0.0,-128
2026-01-28,163,0.0,-163
2026-01-28,125,0.0,-125
2026-01-28,103,0.0,-103
2026-01-28,120,0.0,-120
2026-01-28,166,0.5,-89
2026-01-28,39,0.0,-39
2026-01-28,155,0.0,-155
2026-01-28,89,0.0,-89
2026-01-28,149,0.0,-149
2026-01-28,137,0.0,-137
2026-01-29,72,0.0,-72
2026-01-29,96,0.0,-96
2026-01-29,127,0.0,-127
2026-01-29,172,0.0,-172
2026-01-29,122,0.0,-122
2026-01-29,98,0.0,-98
2026-01-29,151,0.0,-151
2026-01-29,165,0.0,-165
2026-01-29,26,0.0,-26
2026-01-29,126,0.0,-126
2026-01-29,113,0.0,-113
2026-01-29,149,0.0,-149
2026-01-29,148,0.0,-148
2026-01-30,191,0.0,-191
2026-01-30,100,0.0,-100
2026-01-30,165,0.0,-165
2026-01-30,176,0.0,-176
2026-01-30,114,0.0,-114
2026-01-30,123,0.0,-123
2026-01-30,99,0.0,-99
2026-01-30,161,0.0,-161
2026-01-30,131,0.0,-131
2026-01-30,27,0.0,-27
2026-01-30,134,0.0,-134
2026-01-30,196,0.0,-196
2026-01-30,155,0.0,-155
2026-01-30,143,0.0,-143
2026-02-01,69,0.0,-69
2026-02-02,65,0.0,-65
2026-02-02,148,0.0,-148
2026-02-02,181,0.0,-181
2026-02-02,166,0.0,-166
2026-02-02,166,0.0,-166
2026-02-02,145,1.7,100
2026-02-02,56,0.0,-56
2026-02-02,179,0.0,-179
2026-02-02,49,0.0,-49
2026-02-02,119,0.0,-119
2026-02-02,132,0.0,-132
2026-02-02,170,0.0,-170
2026-02-02,141,0.0,-141
2026-02-03,168,0.0,-168
2026-02-03,134,0.0,-134
2026-02-03,185,0.0,-185
2026-02-03,144,0.0,-144
2026-02-03,187,0.0,-187
2026-02-03,165,1.4,73
2026-02-03,191,0.0,-191
2026-02-03,66,0.0,-66
2026-02-03,47,0.0,-47
2026-02-03,101,0.0,-101
2026-02-03,120,0.0,-120
2026-02-03,180,0.0,-180
2026-02-03,141,0.0,-141
2026-02-04,195,0.0,-195
2026-02-04,116,0.0,-116
2026-02-04,163,0.0,-163
2026-02-04,137,0.0,-137
2026-02-04,140,0.0,-140
2026-02-04,124,0.0,-124
2026-02-04,141,4.2,453
2026-02-04,171,0.0,-171
2026-02-04,74,0.0,-74
2026-02-04,49,0.0,-49
2026-02-04,99,0.0,-99
2026-02-04,121,0.0,-121
2026-02-04,167,0.0,-167
2026-02-04,147,0.0,-147
2026-02-05,176,0.0,-176
2026-02-05,144,0.0,-144
2026-02-05,99,0.0,-99
2026-02-05,189,0.0,-189
2026-02-05,125,0.0,-125
2026-02-05,104,0.0,-104
2026-02-05,126,2.8,229
2026-02-05,173,0.0,-173
2026-02-05,135,0.0,-135
2026-02-05,48,0.0,-48
2026-02-05,96,0.0,-96
2026-02-05,106,0.0,-106
2026-02-05,180,0.0,-180
2026-02-05,161,0.0,-161
2026-02-06,67,0.0,-67
2026-02-06,103,0.0,-103
2026-02-06,149,0.0,-149
2026-02-06,194,0.0,-194
2026-02-06,103,0.0,-103
2026-02-06,172,0.0,-172
2026-02-06,117,0.0,-117
2026-02-06,158,0.0,-158
2026-02-06,94,0.0,-94
2026-02-06,42,0.0,-42
2026-02-06,168,0.0,-168
2026-02-06,79,0.0,-79
2026-02-06,168,0.0,-168
2026-02-06,138,0.0,-138
2026-02-08,26,0.0,-26
2026-02-08,21,0.0,-21
2026-02-08,197,0.0,-197
2026-02-08,47,0.0,-47
2026-02-09,143,0.0,-143
2026-02-09,184,0.0,-184
2026-02-09,140,0.0,-140
2026-02-09,183,0.0,-183
2026-02-09,104,0.0,-104
2026-02-09,167,0.0,-167
2026-02-09,133,4.8,508
2026-02-09,171,0.0,-171
2026-02-09,138,0.0,-138
2026-02-09,38,0.0,-38
2026-02-09,169,0.0,-169
2026-02-09,189,0.0,-189
2026-02-09,167,0.0,-167
2026-02-09,139,0.0,-139
2026-02-10,60,0.0,-60
2026-02-10,199,0.0,-199
2026-02-10,136,0.0,-136
2026-02-10,198,0.0,-198
2026-02-10,109,0.0,-109
2026-02-10,119,0.0,-119
2026-02-10,113,5.4,493
2026-02-10,174,0.0,-174
2026-02-10,81,0.0,-81
2026-02-10,40,0.0,-40
2026-02-10,171,0.0,-171
2026-02-10,89,0.0,-89
2026-02-10,159,0.0,-159
2026-02-10,129,0.0,-129
2026-02-11,118,0.0,-118
2026-02-11,180,0.0,-180
2026-02-11,126,0.0,-126
2026-02-11,176,0.0,-176
2026-02-11,106,0.0,-106
2026-02-11,131,0.0,-131
2026-02-11,117,4.8,440
2026-02-11,162,0.0,-162
2026-02-11,91,0.0,-91
2026-02-11,41,0.0,-41
2026-02-11,188,0.0,-188
2026-02-11,151,0.0,-151
2026-02-11,150,0.0,-150
2026-02-11,130,0.0,-130
2026-02-12,192,0.0,-192
2026-02-12,169,0.0,-169
2026-02-12,121,0.0,-121
2026-02-12,139,0.0,-139
2026-02-12,97,0.0,-97
2026-02-12,200,0.0,-200
2026-02-12,93,4.0,275
2026-02-12,142,0.0,-142
2026-02-12,91,0.0,-91
2026-02-12,40,1.7,29
2026-02-12,189,0.0,-189
2026-02-12,151,0.0,-151
2026-02-12,166,0.0,-166
2026-02-12,129,0.0,-129
2026-02-13,132,0.0,-132
2026-02-13,151,0.0,-151
2026-02-13,119,0.0,-119
2026-02-13,179,0.0,-179
2026-02-13,100,0.0,-100
2026-02-13,173,0.0,-173
2026-02-13,107,0.0,-107
2026-02-13,121,0.0,-121
2026-02-13,75,0.0,-75
2026-02-13,38,1.7,25
2026-02-13,155,0.0,-155
2026-02-13,98,0.0,-98
2026-02-13,175,0.0,-175
2026-02-13,131,0.0,-131
2026-02-16,10,0.0,-10
2026-02-16,14,0.0,-14
2026-02-16,6,0.0,-6
2026-02-16,3,0.0,-3
2026-02-16,6,0.0,-6
2026-02-16,10,0.0,-10
2026-02-17,124,0.0,-124
2026-02-17,125,0.0,-125
2026-02-17,197,0.0,-197
2026-02-17,156,0.0,-156
2026-02-17,88,0.0,-88
2026-02-17,177,0.0,-177
2026-02-17,88,4.5,311
2026-02-17,124,0.0,-124
2026-02-17,87,0.0,-87
2026-02-17,38,1.8,32
2026-02-17,149,0.0,-149
2026-02-17,91,0.0,-91
2026-02-17,152,0.0,-152
2026-02-17,129,0.0,-129
2026-02-18,150,0.0,-150
2026-02-18,116,0.0,-116
2026-02-18,105,0.0,-105
2026-02-18,189,0.0,-189
2026-02-18,103,0.0,-103
2026-02-18,127,0.0,-127
2026-02-18,86,4.8,330
2026-02-18,116,0.0,-116
2026-02-18,64,0.0,-64
2026-02-18,38,1.8,32
2026-02-18,132,0.0,-132
2026-02-18,81,0.0,-81
2026-02-18,159,0.0,-159
2026-02-18,193,0.0,-193
2026-02-19,136,0.0,-136
2026-02-19,126,0.0,-126
2026-02-19,195,0.0,-195
2026-02-19,179,0.0,-179
2026-02-19,85,0.0,-85
2026-02-19,130,0.0,-130
2026-02-19,98,5.9,479
2026-02-19,116,0.0,-116
2026-02-19,59,0.0,-59
2026-02-19,39,4.0,116
2026-02-19,132,0.0,-132
2026-02-19,79,0.0,-79
2026-02-19,149,0.0,-149
2026-02-19,126,0.0,-126
2026-02-20,135,0.0,-135
2026-02-20,98,0.0,-98
2026-02-20,195,0.0,-195
2026-02-20,142,0.0,-142
2026-02-20,72,0.0,-72
2026-02-20,93,0.0,-93
2026-02-20,88,0.0,-88
2026-02-20,107,0.0,-107
2026-02-20,84,0.0,-84
2026-02-20,35,0.0,-35
2026-02-20,114,0.0,-114
2026-02-20,140,0.0,-140
2026-02-20,142,0.0,-142
2026-02-20,199,0.0,-199
2026-02-22,68,0.0,-68
2026-02-22,4,0.0,-4
2026-02-22,5,0.0,-5
2026-02-22,28,0.0,-28
2026-02-23,113,0.0,-113
2026-02-23,144,0.0,-144
2026-02-23,173,0.0,-173
2026-02-23,124,0.0,-124
2026-02-23,75,0.0,-75
2026-02-23,127,0.0,-127
2026-02-23,84,5.9,416
2026-02-23,144,0.0,-144
2026-02-23,60,0.0,-60
2026-02-23,34,7.0,205
2026-02-23,105,0.0,-105
2026-02-23,135,0.0,-135
2026-02-23,197,0.0,-197
2026-02-23,185,0.0,-185
2026-02-24,119,0.0,-119
2026-02-24,146,0.0,-146
2026-02-24,161,0.0,-161
2026-02-24,145,0.0,-145
2026-02-24,67,0.0,-67
2026-02-24,184,0.0,-184
2026-02-24,78,6.8,451
2026-02-24,98,0.0,-98
2026-02-24,74,0.0,-74
2026-02-24,35,2.0,34
2026-02-24,136,0.0,-136
2026-02-24,112,0.0,-112
2026-02-24,191,0.0,-191
2026-02-24,177,0.0,-177
2026-02-25,149,0.0,-149
2026-02-25,101,0.0,-101
2026-02-25,171,0.0,-171
2026-02-25,128,0.0,-128
2026-02-25,53,0.0,-53
2026-02-25,130,0.0,-130
2026-02-25,93,7.9,644
2026-02-25,10,0.0,-10
2026-02-25,73,0.0,-73
2026-02-25,133,1.8,107
2026-02-25,138,0.0,-138
2026-02-25,121,0.0,-121
2026-02-25,190,0.0,-190
2026-02-25,196,0.0,-196
2026-02-26,115,0.0,-115
2026-02-26,131,0.0,-131
2026-02-26,152,0.0,-152
2026-02-26,200,0.0,-200
2026-02-26,77,0.0,-77
2026-02-26,106,0.0,-106
2026-02-26,67,9.5,573
2026-02-26,90,0.0,-90
2026-02-26,85,0.0,-85
2026-02-26,119,0.6,-49
2026-02-26,117,0.0,-117
2026-02-26,116,0.0,-116
2026-02-26,189,0.0,-189
2026-02-26,176,0.0,-176
2026-02-27,118,0.0,-118
2026-02-27,145,0.0,-145
2026-02-27,135,0.0,-135
2026-02-27,167,0.0,-167
2026-02-27,52,0.0,-52
2026-02-27,87,0.0,-87
2026-02-27,69,0.0,-69
2026-02-27,186,0.0,-186
2026-02-27,81,0.0,-81
2026-02-27,148,0.0,-148
2026-02-27,128,0.0,-128
2026-02-27,119,0.0,-119
2026-02-27,191,0.0,-191
2026-02-27,175,0.0,-175
2026-03-01,52,0.0,-52
2026-03-01,4,0.0,-4
2026-03-01,19,0.0,-19
2026-03-01,28,0.0,-28
2026-03-02,121,0.0,-121
2026-03-02,127,0.0,-127
2026-03-02,134,0.0,-134
2026-03-02,141,11.1,1422
2026-03-02,116,0.0,-116
2026-03-02,137,0.0,-137
2026-03-02,117,7.6,780
2026-03-02,99,0.0,-99
2026-03-02,127,0.0,-127
2026-03-02,75,0.0,-75
2026-03-02,173,0.0,-173
2026-03-02,185,0.0,-185
2026-03-03,169,0.0,-169
2026-03-03,115,0.0,-115
2026-03-03,109,0.0,-109
2026-03-03,125,19.3,2288
2026-03-03,128,0.0,-128
2026-03-03,183,0.0,-183
2026-03-03,110,8.2,788
2026-03-03,192,0.0,-192
2026-03-03,106,0.0,-106
2026-03-03,162,0.0,-162
2026-03-03,180,0.0,-180
2026-03-03,175,0.0,-175
2026-03-04,97,0.0,-97
2026-03-04,111,0.0,-111
2026-03-04,147,0.0,-147
2026-03-04,143,10.9,1420
2026-03-04,110,0.0,-110
2026-03-04,122,0.0,-122
2026-03-04,135,3.5,338
2026-03-04,163,0.0,-163
2026-03-04,112,0.0,-112
2026-03-04,190,0.0,-190
2026-03-04,164,0.0,-164
2026-03-04,174,0.0,-174
2026-03-05,86,0.0,-86
2026-03-05,95,0.0,-95
2026-03-05,125,0.0,-125
2026-03-05,169,14.3,2244
2026-03-05,107,0.0,-107
2026-03-05,115,0.0,-115
2026-03-05,96,0.5,-48
2026-03-05,160,0.0,-160
2026-03-05,184,0.0,-184
2026-03-05,146,0.0,-146
2026-03-05,174,0.0,-174
2026-03-05,179,0.0,-179
2026-03-09,120,0.0,-120
2026-03-09,188,0.0,-188
2026-03-09,149,0.0,-149
2026-03-09,105,14.9,1458
2026-03-09,101,0.0,-101
2026-03-09,144,0.0,-144
2026-03-09,76,6.2,397
2026-03-09,159,0.0,-159
2026-03-09,198,0.0,-198
2026-03-09,162,0.0,-162
2026-03-09,187,0.0,-187
2026-03-09,193,0.0,-193
2026-03-10,139,0.0,-139
2026-03-10,191,0.0,-191
2026-03-10,129,0.0,-129
2026-03-10,99,15.7,1464
2026-03-10,113,0.0,-113
2026-03-10,86,0.0,-86
2026-03-10,67,7.0,405
2026-03-10,155,0.0,-155
2026-03-10,69,0.0,-69
2026-03-10,145,0.0,-145
2026-03-10,162,0.0,-162
2026-03-10,171,0.0,-171
2026-03-11,60,0.0,-60
2026-03-11,95,0.0,-95
2026-03-11,112,0.0,-112
2026-03-11,102,15.3,1461
2026-03-11,110,0.0,-110
2026-03-11,86,0.0,-86
2026-03-11,90,10.0,808
2026-03-11,135,0.0,-135
2026-03-11,86,0.0,-86
2026-03-11,144,0.0,-144
2026-03-11,151,0.0,-151
2026-03-11,176,0.0,-176
2026-03-12,127,0.0,-127
2026-03-12,91,0.0,-91
2026-03-12,192,0.0,-192
2026-03-12,142,0.0,-142
2026-03-12,107,22.5,2306
2026-03-12,105,0.0,-105
2026-03-12,144,0.0,-144
2026-03-12,70,12.9,828
2026-03-12,149,0.0,-149
2026-03-12,65,0.0,-65
2026-03-12,109,0.0,-109
2026-03-12,145,0.0,-145
2026-03-12,161,0.0,-161
2026-03-13,88,0.0,-88
2026-03-13,188,0.0,-188
2026-03-13,134,0.0,-134
2026-03-13,118,27.5,3134
2026-03-13,93,0.0,-93
2026-03-13,143,0.0,-143
2026-03-13,87,14.4,1163
2026-03-13,155,1.5,83
2026-03-13,143,4.6,523
2026-03-13,124,0.0,-124
2026-03-13,192,0.0,-192
2026-03-13,153,0.0,-153
2026-03-15,8,0.0,-8
2026-03-15,41,0.0,-41
2026-03-15,49,0.0,-49
2026-03-16,87,0.0,-87
2026-03-16,177,0.0,-177
2026-03-16,121,0.0,-121
2026-03-16,120,27.2,3143
2026-03-16,91,0.0,-91
2026-03-16,133,0.0,-133
2026-03-16,93,14.3,1230
2026-03-16,155,0.0,-155
2026-03-16,129,10.4,1222
2026-03-16,104,1.2,21
2026-03-16,167,0.0,-167
2026-03-16,144,0.0,-144
2026-03-17,89,0.0,-89
2026-03-17,136,0.0,-136
2026-03-17,123,0.0,-123
2026-03-17,88,36.9,3175
2026-03-17,91,0.0,-91
2026-03-17,140,0.0,-140
2026-03-17,69,13.1,829
2026-03-17,156,0.0,-156
2026-03-17,120,18.3,2081
2026-03-17,81,0.0,-81
2026-03-17,167,0.0,-167
2026-03-17,138,0.0,-138
2026-03-18,196,2.8,352
2026-03-18,148,0.0,-148
2026-03-18,165,0.0,-165
2026-03-18,92,0.0,-92
2026-03-18,125,26.1,3138
2026-03-18,79,0.0,-79
